"","study","T.gamma","T.gamma.SC","P.gamma","LC","extent","abundanceMethod","mean_PC1","mean_PC2","SamplingEffort.sd","SC.sd","mean_SC","site","mean_T_alpha","mean_P_alpha"
"1","Srit01",25.89827406,1,5.192608405,"Agricultural",256.9309711,"Visitors (All)",-2.995628357,2.105222964,0,0,1,20,22.73528472,4.974395668
"2","sidh01",1.971564724,1,1.692582437,"Agricultural",328.5700628,"Visitors (Targeted)",0.713318363,0.363965167,0,0,1,7,1.756191436,1.547399016
"3","Rade01",1.309015921,1,1.292963011,"Agricultural",27.21098374,"Abundance",-0.66048157,0.847835966,0,0,1,18,1.227519131,1.217895329
"4","klat01",9.045164405,1,2.818026476,"Agricultural",76.19272193,"Visitors (Targeted)",0.308164636,0.362780573,0,0,1,8,5.72764072,2.345313227
"5","Stew02",3.079104611,1,1.645599944,"Urban",10.64765902,"Visitors (All)",-3.514452364,1.028913855,0.303465806,0.000252716,0.999915761,9,2.794843604,1.595102145
"6","Stew01",2.975232796,1,1.486587997,"Urban",22.71915555,"Visitors (All)",-3.515174566,1.024548836,0.239201135,0.000745166,0.99988703,50,2.557817979,1.41301598
"7","javo01",7.264231003,1,3.793399836,"Agricultural",155.7242573,"Visitors (Targeted)",1.190150288,0.40154719,0,0.001925196,0.998049787,14,5.319576091,2.894389076
"8","Pren02",28.35129039,0.9686,5.518770416,"Urban",26.43803137,"Abundance",-2.250192671,-0.408079422,0,0.003251728,0.991580968,7,12.314528,3.960096465
"9","cunn005",2.007609058,1,1.460748813,"Agricultural",6.390866414,"Abundance",-0.383949418,0.727704115,0,0.003570037,0.994393639,10,1.835372379,1.406897642
"10","Rade01",1.869372056,1,1.757896155,"Urban",22.64103434,"Abundance",-0.699473444,0.812075855,0,0.005441295,0.997778601,6,1.585952177,1.504393407
"11","Liuy01",8.696789219,0.992,2.878331877,"Agricultural",16.72301966,"Abundance",-0.180621233,-1.403859873,0,0.004947934,0.985211607,15,7.177898327,2.690784383
"12","FOUR01",38.4728661,0.9911,5.973171955,"Natural",28.43921084,"Abundance",1.543766032,0.225550367,0.180123415,0.006164736,0.95815108,5,27.57546028,5.415288905
"13","krem01",4.239353333,1,2.113166781,"Agricultural",58.3161283,"Visitors (Targeted)",-1.801432611,-1.215949243,0,0.009041052,0.99587505,14,2.707288343,1.60978466
"14","Richards01c",18.92760105,0.9873,5.078067388,"Natural",2.038761236,"Visitors (All)",1.102791218,0.550479436,0.148813066,0.007924478,0.96315707,6,15.27810989,4.601255941
"15","saba01",4.298723558,0.9953,2.469382072,"Natural",38.44601723,"Visitors (All)",-0.479449786,0.996149887,0.081325006,0.009591501,0.986382344,7,3.716717086,2.327736047
"16","Hall01",5.095513042,0.9987,1.382128805,"Agricultural",113.3130657,"Abundance",-0.656348483,0.612426529,0.160514471,0.011024237,0.985776759,24,3.579595929,1.305367115
"17","Richards01a",13.14158529,0.9965,4.226524526,"Natural",2.038761236,"Abundance",1.102791218,0.550479436,0.156458195,0.014013737,0.983981873,6,11.13177821,3.976550923
"18","Richards01b",13.71594219,0.9971,4.135648571,"Natural",2.038761236,"Abundance",1.102791218,0.550479436,0.132992762,0.013680252,0.980277646,6,10.89344658,3.691195394
"19","Avil01",9.055297983,0.9886,3.191635068,"Natural",33.03593045,"Abundance",-1.95636361,-0.513510199,0,0.013235109,0.974875295,5,7.609331079,3.035626573
"20","Forr01",17.72244432,0.989,3.700170504,"Agricultural",53.36257704,"Visitors (All)",-1.831646037,-1.243326829,0,0.014446109,0.954064544,9,12.65909743,3.361444213
"21","krem03",23.24589424,0.9887,4.094858717,"Agricultural",53.36257704,"Visitors (All)",-1.831646037,-1.243326829,0,0.014590383,0.949720682,9,16.21372845,3.749820372
"22","Hung01",21.72210858,0.9956,3.909521913,"Natural",33.64786269,"Abundance",-2.282621246,-1.175767214,0.352150459,0.016039109,0.96582766,18,12.25590227,3.439417086
"23","leon01",5.186560154,0.9989,2.593274312,"Natural",19.43117952,"Abundance",-1.959519969,-1.31246452,0.411723439,0.030612455,0.981843955,21,4.270447345,2.15179403
"24","Landa01",10.49532924,0.9924,2.161856556,"Agricultural",125.1173639,"Visitors (Targeted)",-2.821885591,1.159904981,0,0.016157653,0.979341626,6,6.784763709,1.984384427
"25","Pren02",30.14932765,0.9778,4.553929718,"Natural",24.47253453,"Abundance",-2.266213684,-0.405475737,0,0.016620605,0.980461013,7,16.45799324,3.702552564
"26","Forr01",31.75589459,0.9804,5.838986461,"Natural",50.96277796,"Visitors (All)",-1.818819728,-1.261227496,0,0.01863595,0.926763902,7,18.0452542,4.93200684
"27","pufa01",8.526408976,1,3.102486828,"Agricultural",27.6413522,"Visitors (Targeted)",0.051311356,0.403498186,0.246182982,0.024026769,0.979207823,12,4.987165148,2.104383371
"28","klei01",3.53595083,0.9939,1.813534971,"Agricultural",34.03904311,"Abundance",-1.769156827,-1.241577693,0,0.022067756,0.98172871,11,2.832404803,1.6644082
"29","krem03",45.43825899,0.9791,6.894685015,"Natural",50.96277796,"Visitors (All)",-1.818819728,-1.261227496,0,0.019849465,0.926028291,7,26.32929583,5.832708657
"30","conn02",14.6830349,0.9945,4.418742374,"Agricultural",109.4092703,"Visitors (Targeted)",0.90913788,0.214706166,0.094491118,0.022332098,0.957171921,28,10.07629932,3.753747626
"31","leon01",3.506885919,0.9975,1.818081843,"Agricultural",12.12329466,"Abundance",-1.965740361,-1.280385021,0.429803942,0.027834967,0.978890236,15,3.090699984,1.726976542
"32","will01",4.681746155,0.9937,1.802866457,"Agricultural",41.53467555,"Visitors (Targeted)",-1.852449206,-1.234751375,0,0.020419377,0.976714431,9,3.903086321,1.656401424
"33","Liuy02",11.6152532,0.9959,2.100943933,"Agricultural",33.73677989,"Abundance",-0.77321342,-2.947020684,0,0.02263566,0.964452285,22,8.395290124,1.933965735
"34","Bana01",31.33877817,0.9896,5.514606399,"Urban",12.59186702,"Abundance",0.208482812,-0.328628798,0.066282909,0.022363529,0.954061119,9,20.35000436,4.52188385
"35","Cely01",6.115235101,0.9948,2.277125767,"Agricultural",6.052245568,"Abundance",-2.166601835,1.531938677,0,0.024877964,0.978074546,5,4.819025155,2.052912028
"36","Amad01",11.70092866,0.9849,3.34073461,"Urban",25.03126269,"Visitors (All)",-2.299143571,-0.847657461,0.298142397,0.023565637,0.969530106,5,7.410198781,2.56823028
"37","Phil02a",20.75378608,0.9908,5.382867573,"Urban",92.57490159,"Visitors (All)",-2.158042128,-0.955662504,0,0.025597238,0.963367569,18,9.493255363,3.537446091
"38","Avil01",9.815245959,0.9948,3.591926017,"Agricultural",52.05799534,"Abundance",-2.031391542,-0.553138688,0,0.031213577,0.970255277,8,7.349805762,3.421620163
"39","Bana01",40.77408706,0.9887,5.615030737,"Natural",36.37766735,"Abundance",0.226196225,-0.320997042,0.039929786,0.023713852,0.94513316,9,26.1839606,4.876407276
"40","Bana03",38.04038712,0.9914,4.521339913,"Urban",5.274587889,"Abundance",0.210736891,-0.328994445,0.081158867,0.023646136,0.947978743,7,25.50056909,3.908267913
"41","Arm01",27.6554547,0.9889,4.555930043,"Natural",6.154310628,"Visitors (All)",-2.665155515,1.405918365,0,0.024391131,0.955370307,6,19.34865298,4.121502382
"42","Main01",33.29252833,0.998,4.840799824,"Agricultural",167.4760018,"Abundance",0.501297789,-0.002876984,0,0.027668317,0.940244554,30,23.88325832,4.390229483
"43","tuel01",32.47836484,0.9928,3.084419532,"Agricultural",80.4321129,"Abundance",0.805646693,0.221918931,0,0.030686951,0.949398271,15,19.25911356,2.82021505
"44","Tang01",2.145137836,0.9987,1.398327386,"Agricultural",31.50960656,"Abundance",-3.562276766,0.824864434,0,0.026452993,0.972640425,23,1.776207495,1.309297759
"45","Hall01",5.498624521,0.9975,1.257207755,"Natural",113.3130657,"Abundance",-0.656348483,0.612426529,0.160514471,0.033496581,0.969544496,24,3.740498228,1.199089212
"46","Land01",26.43372923,0.9906,4.05292862,"Natural",19.62593541,"Abundance",0.571458312,0.866504322,0.083333333,0.028636939,0.961911449,12,12.66518728,3.584845181
"47","Zou01",7.949651368,0.998,3.267627166,"Agricultural",74.99295538,"Abundance",-0.671764357,0.421202546,0.019199321,0.034236823,0.972046103,18,4.53464544,2.707083698
"48","Enriq01",8.046234021,0.9938,2.970787161,"Agricultural",12.42806714,"Abundance",-1.913148094,1.708048395,0.188073005,0.02888928,0.959672087,11,4.870815081,2.480087143
"49","Bana02",23.58079178,0.9877,3.929213491,"Urban",4.403480252,"Abundance",0.21935151,-0.314914073,0.038391704,0.030058538,0.936923574,16,14.47048154,3.323574978
"50","Amad01",35.21398753,0.9524,6.004823208,"Natural",29.41726438,"Visitors (All)",-2.262341491,-0.875779884,0.154515743,0.028616441,0.929345219,8,18.71355803,5.057983709
"51","FOUR01",37.7381594,0.9988,4.389618753,"Urban",40.8175793,"Abundance",1.542713826,0.279795869,0.383215085,0.032313778,0.955607292,20,20.4570191,3.536334919
"52","Ball01",19.61190895,0.9948,2.757808413,"Urban",384.4837529,"Abundance",-0.601779455,0.729029733,0,0.034297654,0.950960097,20,9.799125156,2.326100141
"53","MORR01",5.178291425,0.9991,3.271957817,"Agricultural",89.96405057,"Abundance",-0.228189734,0.421309359,0,0.042925835,0.961631463,27,3.960614713,2.705955658
"54","pott01",4.209283729,0.9933,1.320657915,"Agricultural",39.03096887,"Abundance",-0.10284762,0.683486535,0,0.034448552,0.963645253,10,3.494554553,1.279150764
"55","burk03",24.63400595,0.9931,3.435966244,"Natural",24.65893643,"Visitors (All)",0.633123292,0.36010569,0.22798643,0.032606814,0.929800353,14,16.3401857,3.275511881
"56","Cast01",5.135458089,0.994,3.506305671,"Natural",17.98384892,"Visitors (Targeted)",-2.01123072,-0.54694504,0,0.035485502,0.960186378,13,4.128634896,3.003083145
"57","mall02",36.20455886,0.9878,3.655905074,"Natural",422.9835569,"Abundance",0.855697057,-0.267965053,0,0.035418888,0.93791303,5,23.30881341,3.314567324
"58","Schu01",5.93302021,0.9842,2.624973248,"Agricultural",17.22634586,"Abundance",-2.893410795,1.499473049,0,0.037679314,0.936187243,9,4.498923951,2.336657976
"59","Stoj01",7.850304107,0.9831,3.15035717,"Natural",43.35136209,"Visitors (All)",0.278921237,0.094120048,0,0.040701845,0.945394949,16,3.980820137,2.173444478
"60","wick02",20.08424062,0.9966,3.489849996,"Natural",44.5665261,"Abundance",-0.102528623,0.684452784,0.056044854,0.040076489,0.927604835,13,11.45083311,2.862273277
"61","holz01b",8.737102582,0.9536,1.581175662,"Agricultural",6.66072745,"Abundance",0.284939305,0.305690702,0,0.037117534,0.945511338,6,5.594852763,1.49502655
"62","Ball01",24.88663573,0.993,3.690934057,"Natural",374.7063251,"Abundance",-0.609765115,0.72930973,0,0.040731749,0.931937971,20,9.577835869,2.758400346
"63","Ducl01",27.29581514,0.954,3.273133159,"Agricultural",89.71203455,"Abundance",1.003346751,0.642601536,0,0.042821165,0.843658987,5,16.01507331,2.70926908
"64","Youn01",29.5696409,0.9897,3.800944883,"Urban",28.14971296,"Abundance",0.023912062,1.063046249,0,0.042258247,0.915797466,15,19.94116783,3.422594893
"65","Guti01",19.9441024,0.9945,3.45843805,"Natural",8.688855067,"Abundance",-1.854413057,2.489933035,0,0.040319198,0.919084841,20,12.79832625,3.0888936
"66","sche01",10.66670702,0.9948,1.91884069,"Agricultural",75.35224151,"Abundance",0.114521965,0.659902863,0.326200049,0.048597257,0.951349386,33,5.959432986,1.817022975
"67","Meng01",16.75090392,0.9841,4.767353035,"Natural",14.40162406,"Abundance",-2.41902104,0.267999348,0,0.041535554,0.926476543,5,12.38924201,4.229314068
"68","Power01",2.920385181,1,1.110507195,"Agricultural",217.1037298,"Abundance",-0.348411035,0.976469308,0,0.04556797,0.958055171,18,2.562354887,1.080179631
"69","Gonz01",14.94071767,0.9834,3.87760765,"Agricultural",29.02625722,"Visitors (All)",-2.351334259,0.808397586,0.207019668,0.045106963,0.923485129,15,7.920221901,3.018227173
"70","taki01",2.676184006,0.98,2.181061751,"Agricultural",6.566294783,"Visitors (Targeted)",-0.257439838,0.558333586,0,0.044171593,0.934106895,12,2.26475159,1.945978843
"71","Meyr01a",3.802224461,1,2.120131628,"Natural",18.30960818,"Visitors (Targeted)",0.357375658,0.416316473,0,0.043212624,0.955591521,7,2.697824686,1.749672498
"72","Cast01",5.761739968,1,3.611428141,"Agricultural",3.891405032,"Visitors (Targeted)",-2.001848267,-0.551940282,0,0.048430564,0.962302385,6,4.270644215,3.155067968
"73","conn04",7.028616499,0.9992,3.325910483,"Agricultural",69.18121479,"Visitors (All)",0.891587179,0.210103959,0,0.046433528,0.943101749,6,6.003081113,2.976738553
"74","Taki02",36.08951886,0.9896,4.740538328,"Natural",6.821074772,"Abundance",0.041920715,0.487451179,0,0.047753065,0.907065053,10,21.59135457,4.046976595
"75","Phil01a",17.29787278,0.9544,5.155893388,"Urban",79.46489306,"Visitors (All)",-2.146389398,-0.970778533,0,0.047180143,0.926518878,14,7.62197346,3.578759155
"76","Thre01",2.599227798,0.991,1.182054747,"Urban",24.93074823,"Abundance",-0.850902025,1.075843127,0,0.056384013,0.964783062,15,1.88395013,1.102599174
"77","Cuss02",12.68687657,0.9822,2.332819267,"Agricultural",71.30392417,"Visitors (Targeted)",-0.717225689,0.60076335,0,0.053021748,0.928104553,9,8.341188777,2.088576956
"78","Vaid01",41.89571114,0.9837,4.939165925,"Urban",68.69298526,"Abundance",0.946682522,0.156549186,0,0.051845933,0.881675119,23,22.78072827,4.130333779
"79","wick02",26.77024965,0.996,3.276948455,"Agricultural",47.43785214,"Abundance",-0.117667692,0.668569469,0.100267499,0.059402964,0.895776592,36,14.06074779,2.693472873
"80","Fowl01",29.33324903,0.9875,4.447962323,"Natural",29.68745198,"Abundance",-0.044314656,0.689703522,0,0.050711122,0.892595966,14,17.81539233,3.726927785
"81","conn01b",17.31228955,0.9881,3.498085048,"Agricultural",109.0036018,"Abundance",0.947702932,0.273650103,0,0.055732471,0.873396083,16,8.922180381,2.729056726
"82","otie01",17.75583142,1,4.040029927,"Agricultural",34.98717558,"Visitors (Targeted)",-3.650158268,-0.688246708,0,0.060355398,0.937930867,12,10.09733156,3.48509919
"83","Norf01",19.04120862,0.9878,5.446666129,"Urban",6.711779569,"Visitors (All)",-1.985527319,-2.842572836,0.076755652,0.055138134,0.896961511,29,6.489818573,3.624743359
"84","Lerman01",20.81091146,0.9935,3.075429376,"Urban",6.764788072,"Abundance",0.952108887,0.902786551,0.314161343,0.062831296,0.918867879,18,15.12999035,2.628772129
"85","Cunn02",5.961301758,0.9767,2.00682736,"Agricultural",24.83137848,"Abundance",-1.568360596,0.627420834,0,0.061635336,0.902221084,10,4.767216432,1.855244857
"86","spie01",36.69755461,0.9898,3.469349547,"Natural",85.63161571,"Abundance",0.916593894,-0.496870301,0,0.059110516,0.876697219,21,18.15536648,3.181325037
"87","danf01",22.93243068,0.9906,2.449588744,"Agricultural",108.2214325,"Visitors (Targeted)",0.918252474,0.247220863,0.271486786,0.05823301,0.9308569,13,12.55874793,2.310123878
"88","Matt01",26.73711132,0.9901,5.337125103,"Urban",9.324239371,"Abundance",0.672044397,0.903075563,0.2654268,0.057820513,0.854136413,18,19.68035571,4.833247301
"89","Wils01",53.14908886,0.9745,6.459184174,"Urban",54.37837814,"Abundance",0.940407526,0.126834543,0,0.058770222,0.862173719,14,26.84460676,5.335212657
"90","Phil01b",3.669216363,0.9903,1.584211895,"Urban",92.57490159,"Abundance",-2.16286066,-0.944112615,0,0.061593989,0.90033698,18,2.541113989,1.389454315
"91","Mans01",23.88727109,0.9947,3.512348812,"Natural",905.8124613,"Abundance",0.758241623,-1.668766906,0,0.067381378,0.925957686,72,9.0457944,2.371134003
"92","Tino01",6.121616918,0.9793,1.39769739,"Natural",190.4608096,"Visitors (All)",-3.268550182,1.071350686,0.177776006,0.06170205,0.941467541,9,2.407794188,1.239890791
"93","Meyr02",24.75647885,0.9957,4.243676229,"Natural",30.60093907,"Abundance",0.3650574,0.446497509,0.259021802,0.068917431,0.893588445,32,16.09931577,3.723292709
"94","Bros02",18.82538634,0.9913,2.394157286,"Natural",555.4875286,"Abundance",-0.836080314,1.331081215,0,0.064806763,0.905052064,28,7.627868519,2.030578513
"95","Latt01",4.737756598,0.9797,3.728919453,"Urban",16.0277576,"Visitors (All)",-1.147971839,1.454681433,0,0.078862538,0.953015176,11,2.800358811,2.401853421
"96","mall01",7.308540504,0.9981,1.345691734,"Agricultural",478.3568567,"Abundance",0.866244467,-0.296411644,0.238059381,0.077222975,0.938891635,35,4.802804719,1.263377235
"97","cari01",15.1812159,0.9795,3.989600488,"Agricultural",32.96670118,"Visitors (Targeted)",0.480408335,0.872083494,0,0.068855634,0.862327727,16,9.146377006,3.211440943
"98","hopf1",73.98527423,0.9903,5.581301,"Natural",50.34449791,"Abundance",0.559200517,0.519740797,0,0.070397015,0.840861771,23,43.70397912,5.204332989
"99","winf01",11.20194453,0.9962,3.387370662,"Agricultural",77.80892002,"Visitors (Targeted)",0.649532129,0.820513755,0.26280509,0.080416228,0.898933692,49,6.020986692,2.457112425
"100","Henn01",13.38917828,0.9915,3.540509895,"Urban",10.81631584,"Visitors (All)",0.226737866,0.72481394,0,0.084288347,0.93991603,41,3.426674456,2.101585057
"101","mall02",14.6881412,0.9664,2.003340629,"Agricultural",478.3568567,"Abundance",0.895753355,-0.317263644,0,0.074958992,0.796612707,17,8.327559468,1.824662722
"102","sard01",2.493425632,0.9952,1.838500139,"Agricultural",22.04188665,"Abundance",-1.831704706,-1.199741333,0,0.078857307,0.934699357,7,2.137268565,1.67142905
"103","Phil02b",4.287054162,0.9807,1.632487713,"Urban",92.57490159,"Abundance",-2.141972114,-0.973461311,0,0.081643886,0.901023054,13,2.991163433,1.43139906
"104","cuss01",12.11246435,0.9853,3.430881359,"Agricultural",87.08275657,"Visitors (Targeted)",-1.235441616,1.022939465,0.11785113,0.105728497,0.936913842,18,5.721752256,2.621633774
"105","jha01",18.81271216,0.9743,2.589141109,"Agricultural",4.029891671,"Abundance",-2.984857628,1.536125021,0,0.089608819,0.901249888,7,15.14666945,2.52074424
"106","Reyn01",10.95033497,0.9857,1.202635408,"Natural",181.9319697,"Visitors (All)",-1.673648316,-0.599928763,0.25,0.09179957,0.898172066,25,5.004482196,1.182511376
"107","winf03",14.98780212,0.9675,3.205230233,"Agricultural",184.9107314,"Abundance",0.58408023,0.876375827,0,0.086702026,0.886244741,6,9.726624609,2.97862464
"108","benj01",13.34938588,0.9825,4.675597546,"Agricultural",38.05389914,"Visitors (Targeted)",0.48413543,0.884163005,0,0.10271154,0.911545483,15,7.462787011,3.460040793
"109","Vide01",45.19035853,0.9765,5.979200955,"Agricultural",114.1463571,"Abundance",-2.92694687,0.926786757,0,0.080236863,0.817232995,18,21.7148425,4.772783143
"110","Mans01",20.38139794,0.9945,3.374977945,"Agricultural",868.7421955,"Abundance",0.784756212,-1.64904876,0,0.096939241,0.90094022,64,5.877513851,2.00250158
"111","Samn02",25.29792793,0.9767,3.50490385,"Agricultural",17.54210823,"Abundance",-2.121708828,1.273915715,0,0.080623751,0.825195587,25,12.87797643,2.842035603
"112","cunn009",10.0776732,0.9926,1.899858696,"Natural",137.5776601,"Abundance",-0.383077431,0.800380067,0,0.087243709,0.891487533,24,5.119306331,1.625067125
"113","burk06",73.04226787,0.9892,5.118468451,"Natural",483.6181281,"Visitors (All)",0.616040688,-1.05904554,0.186146612,0.085866815,0.74691231,107,31.81434973,4.534788364
"114","Bros01",19.87526565,0.9862,3.969290882,"Agricultural",14.63627789,"Visitors (All)",-2.062323612,3.251866684,0,0.08430269,0.854880384,30,9.690565582,3.100372236
"115","Ducl01",35.94812373,0.9566,4.568123536,"Natural",81.93426898,"Abundance",1.067313792,0.606588116,0,0.081228498,0.79463462,8,21.45296074,3.963958096
"116","sche01",12.71077716,0.9742,1.994847017,"Natural",76.15581952,"Abundance",0.113842019,0.657442678,0.022696032,0.085909514,0.870968944,14,8.698996284,1.734792908
"117","scil01",7.623105071,0.9836,1.670538008,"Agricultural",75.50277445,"Visitors (Targeted)",-2.133467487,-0.94581909,0,0.092297008,0.917249776,12,4.119996054,1.390095983
"118","Mont01",18.76046528,0.8664,4.659673281,"Agricultural",11.31021804,"Abundance",-2.352211105,1.158875515,0,0.078798008,0.708757152,5,10.44779193,3.788142929
"119","Bill01",39.00219197,0.9984,3.308466834,"Agricultural",2212.817644,"Abundance",0.218253456,0.308136172,0,0.090645918,0.872190525,368,11.4393286,2.318445015
"120","Turo01",31.6865352,0.9633,5.217333585,"Natural",13.34404149,"Abundance",0.834769816,0.447281349,0,0.084284075,0.76974541,10,18.78378682,3.946372007
"121","Toni01",16.23034973,0.9655,2.491479828,"Urban",29.18745991,"Abundance",0.77114087,0.078913794,0,0.082933415,0.876772728,8,5.864203322,1.996295481
"122","Bird01",15.95175248,0.9315,2.599718945,"Urban",27.28814317,"Abundance",0.211437656,-0.952409478,0,0.081543234,0.857951263,5,8.462137149,2.239936165
"123","gain01",36.80695066,0.9693,3.064873429,"Agricultural",56.35640678,"Abundance",0.879302425,-0.7832394,0,0.087291356,0.785752255,14,18.47050695,2.733644443
"124","holz02",7.045663504,0.9877,1.883047749,"Agricultural",154.624233,"Abundance",0.344596393,0.524270899,0,0.10499399,0.920512019,21,4.233801531,1.680962428
"125","Taki02",30.6790749,0.9947,4.699167503,"Agricultural",3.365346379,"Abundance",0.135750241,0.661016189,0,0.090669236,0.904999598,7,22.09676961,4.167137986
"126","burk02",9.017432593,0.9789,3.144843437,"Natural",7.770322135,"Visitors (All)",1.417814377,-0.942777746,0.19276237,0.09562045,0.917993519,8,4.958234322,2.531839045
"127","Baum01",16.6131341,0.9484,3.004144256,"Urban",45.88722594,"Visitors (All)",-0.781308443,1.120725946,0.163300167,0.096301527,0.919411168,10,6.793919901,2.530011738
"128","mora01",25.600556,0.998,3.907187277,"Agricultural",65.82926317,"Abundance",1.771835164,-2.008689795,0.211111111,0.09565815,0.812679931,36,16.60656754,3.351789262
"129","winf05",6.722551555,0.9049,4.308255722,"Agricultural",51.29888212,"Visitors (Targeted)",0.665941682,0.866841717,0,0.106975456,0.929618923,5,4.120352502,2.920482575
"130","Schu01",5.037856234,0.9656,1.930352391,"Natural",16.35242398,"Abundance",-2.889021298,1.507117887,0,0.103199154,0.905853385,6,3.407861284,1.700315923
"131","Bate01",28.57026565,0.9945,4.077667597,"Urban",28.80270687,"Abundance",-0.039483562,0.705857963,0,0.112396124,0.837239287,26,13.4003296,2.918215479
"132","Marshall01",5.379733697,0.9783,1.474713316,"Agricultural",132.836487,"Abundance",-0.255262143,0.749958011,0,0.102303941,0.900836831,11,3.439580023,1.260269614
"133","Bros02",30.4684082,0.985,3.279915916,"Agricultural",542.8365261,"Abundance",-0.744489029,1.333668541,0,0.104860472,0.852037298,34,9.063596738,2.329312867
"134","Kova01",46.05018078,0.9824,3.908567021,"Agricultural",97.51749123,"Visitors (All)",0.186247644,-0.609532823,0,0.105964289,0.786918944,62,16.53175764,3.078148694
"135","cunn009",9.19924412,0.9977,1.664672918,"Agricultural",147.0537964,"Abundance",-0.384072241,0.7997004,0,0.116807497,0.891973389,41,4.443425664,1.39054258
"136","burk04",13.85603259,0.996,2.8106549,"Natural",57.35725617,"Visitors (All)",0.467885892,0.436226675,0.293631396,0.132026774,0.899471554,10,9.593537791,2.149391825
"137","Toni01",28.17003291,0.9454,5.094607498,"Natural",119.6213602,"Abundance",0.75430141,-0.005010369,0,0.116312225,0.791702815,6,14.39068589,3.938449298
"138","Baldi01",71.22745799,0.8591,6.37808495,"Natural",146.4889546,"Abundance",0.328153318,-0.165386686,0,0.11844815,0.671956537,15,17.27035135,4.211677389
"139","burk05",27.73799413,0.9709,3.702715886,"Natural",11.95350606,"Visitors (All)",0.763806038,-1.292646418,0,0.113967638,0.713334539,62,13.58486859,3.160379122
"140","Norf01",13.99738055,0.9751,4.294208368,"Natural",5.099655762,"Visitors (All)",-1.85720516,-2.955968673,0.372958026,0.11284899,0.820918939,8,5.594996688,3.135734881
"141","Mont01",20.99862593,0.9489,4.247141804,"Natural",10.41781221,"Abundance",-2.384625083,1.083464053,0,0.124401555,0.740540439,22,9.495047741,3.174126887
"142","winf02",12.15530219,0.9188,3.381100137,"Agricultural",60.23089524,"Visitors (Targeted)",0.666173671,0.849058649,0,0.122952785,0.791267173,8,7.036053116,2.599656469
"143","mand03",19.44346517,0.9479,2.300334963,"Agricultural",30.26337015,"Abundance",-2.441848073,-1.417692924,0.253546276,0.126993852,0.742613247,15,9.735966136,2.07858771
"144","Taki03",17.54486027,0.9552,3.894171621,"Natural",24.76859827,"Abundance",0.730723482,0.127868937,0.249338698,0.135424125,0.800752666,8,11.48417065,3.576628141
"145","mand02",21.70564514,0.913,2.31777078,"Agricultural",26.65096287,"Abundance",-2.463189365,-1.403953156,0,0.132322622,0.757174145,13,9.781698406,1.947830311
"146","Mach01",27.11054103,0.8925,4.248346043,"Agricultural",1.674921887,"Abundance",-2.931288953,0.036597102,0,0.131458469,0.755400198,12,12.34803797,3.217260698
"147","winf03",14.64840559,0.9342,4.258286171,"Natural",184.4191962,"Abundance",0.587261985,0.890333903,0,0.131059887,0.832613108,6,5.60433697,2.89536189
"148","Mach01",23.28283374,0.8798,3.666121978,"Natural",1.75704672,"Abundance",-2.932464875,0.03580542,0,0.135649135,0.72818993,8,11.52308832,2.941856859
"149","Hermy01",5.538036524,0.9069,2.912315407,"Natural",27.64812232,"Abundance",0.071397447,0.716958763,0,0.134895157,0.808897975,6,3.957482025,2.277715
"150","conn01a",9.866294735,0.9429,3.632459789,"Agricultural",74.28951663,"Visitors (Targeted)",0.946910618,0.283522617,0,0.157906963,0.834865874,6,4.604452095,2.618196805
